config_name,video_name,precision,recall,f1_score,accuracy,roc_auc,fpr,fnr,tpr,latency_ms,fps,frame_reduction_pct,ram_mb,cpu_pct,gpu_mb,signature_score,evidence_completeness,ground_truth_positive,predicted_positive,decision_score
Config D (Proposed Framework),17_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,1428.42,0.7,19.6,488.9,44.5,43.7,0.8,0.75,1,1,0.8
Config D (Proposed Framework),18_0.mp4,0.0,0.0,0.0,0.0,0.6408,0.4286,1.0,0.0,280.55,3.6,0.7,556.8,42.0,43.6,0.6,0.5,1,0,0.6
Config D (Proposed Framework),1_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,181.65,5.5,51.8,553.7,41.1,43.7,0.75,0.75,1,1,0.75
Config D (Proposed Framework),20_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,620.81,1.6,3.7,464.1,46.3,43.7,0.8,0.75,1,1,0.8
Config D (Proposed Framework),21_0.mp4,0.0,0.0,0.0,0.0,0.6408,0.4286,1.0,0.0,249.52,4.0,1.0,562.4,38.2,43.6,0.55,0.5,1,0,0.55
Config D (Proposed Framework),22_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,234.35,4.3,19.3,531.2,34.3,43.7,0.8,0.75,1,1,0.8
Config D (Proposed Framework),23_0.mp4,0.0,0.0,0.0,0.0,0.6408,0.4286,1.0,0.0,320.74,3.1,88.7,504.3,45.0,43.7,0.4,0.5,1,0,0.4
Config D (Proposed Framework),24_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,423.03,2.4,56.5,479.5,37.5,43.6,1.0,1.0,1,1,1.0
Config D (Proposed Framework),25_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,224.81,4.5,0.0,646.8,37.6,43.6,0.75,0.75,1,1,0.75
Config D (Proposed Framework),26_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,140.36,7.1,19.0,452.7,41.0,43.6,0.8,0.75,1,1,0.8
Config D (Proposed Framework),27_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,1373.05,0.7,62.2,527.3,48.8,43.7,1.0,1.0,1,1,1.0
Config D (Proposed Framework),2_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,152.49,6.6,5.5,566.7,49.7,43.6,1.0,1.0,1,1,1.0
Config D (Proposed Framework),30_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,114.41,8.7,0.0,622.5,53.4,43.7,0.8954,0.8954,1,1,0.8954
Config D (Proposed Framework),3_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,1278.73,0.8,4.0,627.7,48.9,43.6,0.8,0.75,1,1,0.8
Config D (Proposed Framework),4_0.mp4,0.0,0.0,0.0,0.0,0.6408,0.4286,1.0,0.0,156.31,6.4,69.8,548.6,54.6,43.7,0.4,0.5,1,0,0.4
Config D (Proposed Framework),5_0.mp4,0.0,0.0,0.0,0.0,0.6408,0.4286,1.0,0.0,123.41,8.1,2.0,650.0,43.9,43.6,0.2,0.25,1,0,0.2
Config D (Proposed Framework),6.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,387.87,2.6,12.5,496.6,45.4,43.7,0.8,0.75,1,1,0.8
Config D (Proposed Framework),6_0.mp4,0.0,0.0,0.0,0.0,0.6408,0.4286,1.0,0.0,96.45,10.4,57.6,547.2,57.6,43.6,0.7197,0.7197,1,0,0.7197
Config D (Proposed Framework),7.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,274.78,3.6,78.1,459.2,47.5,43.6,0.8,0.75,1,1,0.8
Config D (Proposed Framework),7_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,542.8,1.8,14.9,583.0,51.0,43.6,0.8,0.75,1,1,0.8
Config D (Proposed Framework),8.mp4,0.0,0.0,0.0,0.0,0.6408,0.4286,1.0,0.0,171.78,5.8,18.2,661.9,50.9,43.6,0.4,0.5,1,0,0.4
Config D (Proposed Framework),9.mp4,0.0,0.0,0.0,0.0,0.6408,0.4286,1.0,0.0,252.33,4.0,25.1,566.7,47.2,43.6,0.4,0.5,1,0,0.4
Config D (Proposed Framework),9_0.mp4,1.0,1.0,1.0,1.0,0.6408,0.4286,0.0,1.0,119.41,8.4,43.5,528.8,57.5,43.7,0.8,0.75,1,1,0.8
